anio_mundial,nombre_grupo,nombre_pais,posicion_grupo,pts,pj,pg,pe,pp,gf,gc,dif,clasifico
1998,Grupo C,Francia,1,9,3,3,0,0,9,1,8,1
1998,Grupo C,Dinamarca,2,4,3,1,1,1,3,3,0,1
1998,Grupo C,Sudáfrica,3,2,3,0,2,1,3,6,-3,0
1998,Grupo C,Arabia Saudita,4,1,3,0,1,2,2,7,-5,0
1998,Grupo D,Nigeria,1,6,3,2,0,1,5,5,0,1
1998,Grupo D,Paraguay,2,5,3,1,2,0,3,1,2,1
1998,Grupo D,España,3,4,3,1,1,1,8,4,4,0
1998,Grupo D,Bulgaria,4,1,3,0,1,2,1,7,-6,0
1998,Grupo E,Países Bajos,1,5,3,1,2,0,7,2,5,1
1998,Grupo E,México,2,5,3,1,2,0,7,5,2,1
1998,Grupo E,Bélgica,3,3,3,0,3,0,3,3,0,0
1998,Grupo E,Corea del Sur,4,1,3,0,1,2,2,9,-7,0
1998,Grupo F,Alemania,1,7,3,2,1,0,6,2,4,1
1998,Grupo F,RF de Yugoslavia,2,7,3,2,1,0,4,2,2,1
1998,Grupo F,Irán,3,3,3,1,0,2,2,4,-2,0
1998,Grupo F,Estados Unidos,4,0,3,0,0,3,1,5,-4,0
1998,Grupo G,Rumania,1,7,3,2,1,0,4,2,2,1
1998,Grupo G,Inglaterra,2,6,3,2,0,1,5,2,3,1
1998,Grupo G,Colombia,3,3,3,1,0,2,1,3,-2,0
1998,Grupo G,Túnez,4,1,3,0,1,2,1,4,-3,0
1998,Grupo H,Argentina,1,9,3,3,0,0,7,0,7,1
1998,Grupo H,Croacia,2,6,3,2,0,1,4,2,2,1
1998,Grupo H,Jamaica,3,3,3,1,0,2,3,9,-6,0
1998,Grupo H,Japón,4,0,3,0,0,3,1,4,-3,0
2002,Grupo A,Dinamarca,1,7,3,2,1,0,5,2,3,1
2002,Grupo A,Senegal,2,5,3,1,2,0,5,4,1,1
2002,Grupo A,Uruguay,3,2,3,0,2,1,4,5,-1,0
2002,Grupo A,Francia,4,1,3,0,1,2,0,3,-3,0
2002,Grupo B,España,1,9,3,3,0,0,9,4,5,1
2002,Grupo B,Paraguay,2,4,3,1,1,1,6,6,0,1
2002,Grupo B,Sudáfrica,3,4,3,1,1,1,5,5,0,0
2002,Grupo B,Eslovenia,4,0,3,0,0,3,2,7,-5,0
2002,Grupo C,Brasil,1,9,3,3,0,0,11,3,8,1
2002,Grupo C,Turquía,2,4,3,1,1,1,5,3,2,1
2002,Grupo C,Costa Rica,3,4,3,1,1,1,5,6,-1,0
2002,Grupo C,China,4,0,3,0,0,3,0,9,-9,0
2002,Grupo D,Corea del Sur,1,7,3,2,1,0,4,1,3,1
2002,Grupo D,Estados Unidos,2,4,3,1,1,1,5,6,-1,1
2002,Grupo D,Portugal,3,3,3,1,0,2,6,4,2,0
2002,Grupo D,Polonia,4,3,3,1,0,2,3,7,-4,0
2002,Grupo E,Alemania,1,7,3,2,1,0,11,1,10,1
2002,Grupo E,Irlanda,2,5,3,1,2,0,5,2,3,1
2002,Grupo E,Camerún,3,4,3,1,1,1,2,3,-1,0
2002,Grupo E,Arabia Saudita,4,0,3,0,0,3,0,12,-12,0
2002,Grupo F,Suecia,1,5,3,1,2,0,4,3,1,1
2002,Grupo F,Inglaterra,2,5,3,1,2,0,2,1,1,1
2002,Grupo F,Argentina,3,4,3,1,1,1,2,2,0,0
2002,Grupo F,Nigeria,4,1,3,0,1,2,1,3,-2,0
2002,Grupo G,México,1,7,3,2,1,0,4,2,2,1
2002,Grupo G,Italia,2,4,3,1,1,1,4,3,1,1
2002,Grupo G,Croacia,3,3,3,1,0,2,2,3,-1,0
2002,Grupo G,Ecuador,4,3,3,1,0,2,2,4,-2,0
2002,Grupo H,Japón,1,7,3,2,1,0,5,2,3,1
2002,Grupo H,Bélgica,2,5,3,1,2,0,6,5,1,1
2002,Grupo H,Rusia,3,3,3,1,0,2,4,4,0,0
2002,Grupo H,Túnez,4,1,3,0,1,2,1,5,-4,0
2006,Grupo A,Alemania,1,9,3,3,0,0,8,2,6,1
2006,Grupo A,Ecuador,2,6,3,2,0,1,5,3,2,1
2006,Grupo A,Polonia,3,3,3,1,0,2,2,4,-2,0
2006,Grupo A,Costa Rica,4,0,3,0,0,3,3,9,-6,0
2006,Grupo B,Inglaterra,1,7,3,2,1,0,5,2,3,1
2006,Grupo B,Suecia,2,5,3,1,2,0,3,2,1,1
2006,Grupo B,Paraguay,3,3,3,1,0,2,2,2,0,0
2006,Grupo B,Trinidad y Tobago,4,1,3,0,1,2,0,4,-4,0
2006,Grupo C,Argentina,1,7,3,2,1,0,8,1,7,1
2006,Grupo C,Países Bajos,2,7,3,2,1,0,3,1,2,1
2006,Grupo C,Costa de Marfil,3,3,3,1,0,2,5,6,-1,0
2006,Grupo C,Serbia y Montenegro,4,0,3,0,0,3,2,10,-8,0
2006,Grupo D,Portugal,1,9,3,3,0,0,5,1,4,1
2006,Grupo D,México,2,4,3,1,1,1,4,3,1,1
2006,Grupo D,Angola,3,2,3,0,2,1,1,2,-1,0
2006,Grupo D,Irán,4,1,3,0,1,2,2,6,-4,0
2006,Grupo E,Italia,1,7,3,2,1,0,5,1,4,1
2006,Grupo E,Ghana,2,6,3,2,0,1,4,3,1,1
2006,Grupo E,República Checa,3,3,3,1,0,2,3,4,-1,0
2006,Grupo E,Estados Unidos,4,1,3,0,1,2,2,6,-4,0
2006,Grupo F,Brasil,1,9,3,3,0,0,7,1,6,1
2006,Grupo F,Australia,2,4,3,1,1,1,5,5,0,1
2006,Grupo F,Croacia,3,2,3,0,2,1,2,3,-1,0
2006,Grupo F,Japón,4,1,3,0,1,2,2,7,-5,0
2006,Grupo G,Suiza,1,7,3,2,1,0,4,0,4,1
2006,Grupo G,Francia,2,5,3,1,2,0,3,1,2,1
2006,Grupo G,Corea del Sur,3,4,3,1,1,1,3,4,-1,0
2006,Grupo G,Togo,4,0,3,0,0,3,1,6,-5,0
2006,Grupo H,España,1,9,3,3,0,0,8,1,7,1
2006,Grupo H,Ucrania,2,6,3,2,0,1,5,4,1,1
2006,Grupo H,Túnez,3,1,3,0,1,2,3,6,-3,0
2006,Grupo H,Arabia Saudita,4,1,3,0,1,2,2,7,-5,0
2010,Grupo A,Uruguay,1,7,3,2,1,0,4,0,4,1
2010,Grupo A,México,2,4,3,1,1,1,3,2,1,1
2010,Grupo A,Sudáfrica,3,4,3,1,1,1,3,5,-2,0
2010,Grupo A,Francia,4,1,3,0,1,2,1,4,-3,0
2010,Grupo B,Argentina,1,9,3,3,0,0,7,1,6,1
2010,Grupo B,Corea del Sur,2,4,3,1,1,1,5,6,-1,1
2010,Grupo B,Grecia,3,3,3,1,0,2,2,5,-3,0
2010,Grupo B,Nigeria,4,1,3,0,1,2,3,5,-2,0
2010,Grupo C,Estados Unidos,1,5,3,1,2,0,4,3,1,1
2010,Grupo C,Inglaterra,2,5,3,1,2,0,2,1,1,1
2010,Grupo C,Eslovenia,3,4,3,1,1,1,3,3,0,0
2010,Grupo C,Argelia,4,1,3,0,1,2,0,2,-2,0
2010,Grupo D,Alemania,1,6,3,2,0,1,5,1,4,1
2010,Grupo D,Ghana,2,4,3,1,1,1,2,2,0,1
2010,Grupo D,Australia,3,4,3,1,1,1,3,6,-3,0
2010,Grupo D,Serbia,4,3,3,1,0,2,2,3,-1,0
2010,Grupo E,Países Bajos,1,9,3,3,0,0,5,1,4,1
2010,Grupo E,Japón,2,6,3,2,0,1,4,2,2,1
2010,Grupo E,Dinamarca,3,3,3,1,0,2,3,6,-3,0
2010,Grupo E,Camerún,4,0,3,0,0,3,2,5,-3,0
2010,Grupo F,Paraguay,1,5,3,1,2,0,3,1,2,1
